Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
Dr. Srta. Bárbara Rocha;2025-04-04;(071) 4885 0660;fariasthomas@hotmail.com;4151.6;INATIVO;Roupas;Zs25-35qh;Condomínio Teixeira, 82, Betânia, 60596862 da Cruz / PA;MG;76927-661;Jaqueta;;Boleto;
Felipe Novaes;25/09/2024;41 5972-6418;davi-luccapires@cunha.org;4770.67;ativo;Roupas;PE89-89Nw;Rua Gabriel Martins, 245, Bairro Das Indústrias Ii, 32891-489 da Cruz / PA;RS;16796-213;Camisa;;dinheiro;Entregar urgente
Dr. Samuel da Cruz;2024-06-17;+55 (051) 9081-3748;rrezende@novaes.com;1152.25;Ativo;Roupas;yh29-70ws;Colônia de Monteiro, Vila Ecológica, 26429858 Silva / GO;RJ;32504378;Jaqueta;;Cartão;
sr. kevin pereira;29/08/2023;31 2647-0827;rcosta@melo.com;2270.41;Ativo;Roupas;AS14-07ES;Silva de Jesus;AM;35370-716;Camisa;4;Boleto;Atraso na entrega
Sra. Cauã Nunes;11/02/2025;5531981971868;pietrooliveira@bol.com.br;5247.79;ativo;Eletrônicos;HD93-56ya;Pátio Eloah Nascimento, 91, Ipe, 58329533 Moraes dos Dourados / PE;RJ;94572356;Tablet;;;
Bernardo Souza;2025-01-18;0500 152 6958;ana-claraazevedo@araujo.br;8911.46;Inativo;Roupas;Wc56-58df;Campo Marcelo Barros, 8, Vila Inestan, 25383531 Fogaça da Mata / SC;XX;25442207;Vestido;3;Cartão;Entregar urgente
Yasmin Nascimento;18/05/2024;5584972346596;davi-lucasaragao@hotmail.com;6004,61;Ativo;Eletrônicos;Xy10-47He;Estrada Eduarda Fogaça, 357, Cônego Pinheiro 1ª Seção, 85503921 da Paz de Cardoso / CE;RS;656326;Tablet;3;;Atraso na entrega
Thiago Alves;2023-06-26;(081) 5049-3462;maria-fernanda29@hotmail.com;9429.28;Em análise;Móveis;cJ49-76Gq;Residencial Kaique Novaes, 44, Pirineus, 37443557 Alves / PA;SP;96625-685;Sofá;;PIX;Cliente VIP
luana martins;2025-02-27;71 3893-1426;architecto@est;9217.14;Em análise;Roupas;ON90-49QV;Aeroporto de Moreira, 1, Horto, 91819302 Martins / SP;MG;88890271;Vestido;;Boleto;Atraso na entrega
Dra. Thales Lima;2024-02-25;81 9975 3414;lucasmelo@ig.com.br;9296,22;Em análise;Alimentos;Md84-22cb;Travessa Campos, 53, São Pedro, 90976-268 Ferreira / RN;AM;25343400;Refrigerante;;Boleto;
Sra. Mariane Viana;2024-10-30;5511981397956;maria-vitoria53@santos.br;6720,32;;Eletrônicos;TU86-38ZY;Vila de Rodrigues, 933, Horto, 89455579 Rezende da Mata / DF;AM;60446-;Notebook;;;Cliente VIP
bernardo lima;15/03/2025;81 9685 3560;azevedogabrielly@bol.com.br;6909,81;Em análise;Alimentos;xz55-49TI;Jardim Luiz Felipe Correia, Embaúbas, 81247534 Gomes / AC;RJ;64500218;Bolacha;;dinheiro;Atraso na entrega
Dr. Sr. Luiz Gustavo Campos;2025-02-16;31 1543 7191;limabeatriz@ig.com.br;5610,15;;Eletrônicos;IY45-52OI;Fazenda da Paz, 60, Vila Califórnia, 72251-109 da Cruz / AL;RJ;53197676;Notebook;5;;Atraso na entrega
Dra. Sr. Kevin Souza;2024-02-25;(031) 4930-9604;dmoura@gmail.com;1576,32;Ativo;Roupas;oT83-27DW;Núcleo de Almeida, 61, São Jorge 3ª Seção, 18798-027 Farias do Campo / SE;XX;41554969;Camisa;;Dinheiro;Cliente VIP
Sr. Lorenzo Rezende;2025-03-26;21 8280 0730;pedro-lucas78@ribeiro.com;6443,56;INATIVO;Móveis;iO47-93fo;Vieira;AM;63074091;Armário;2;;Atraso na entrega
Arthur Farias;03/10/2023;5551979945031;daraujo@hotmail.com;5037.49;INATIVO;Móveis;dZ82-93sp;Ribeiro;MG;28166-847;Sofá;4;PIX;Entregar urgente
Sra. Gabriel Campos;2023-08-10;21 4861 6929;dda-luz@yahoo.com.br;3981,97;ativo;Roupas;Zh50-24Fj;Viaduto de Costela, 61, Vila São João Batista, 61365218 Almeida / CE;SP;55022911;Calça;;Boleto;Entregar urgente
Evelyn Caldeira;25/09/2023;+55 (061) 1634 7886;nferreira@ig.com.br;6350,26;Ativo;Eletrônicos;kt56-20kd;Vale de Rodrigues, Beira Linha, 39802565 Nogueira de Gonçalves / MG;MG;658639;Fone de Ouvido;;Boleto;Atraso na entrega
Dra. Alexandre Viana;31/03/2024;5581939079063;kamilly10@lopes.com;7260.48;Inativo;Roupas;tl78-92aD;Jardim Gustavo Henrique Viana, 93, Santa Lúcia, 08924-643 Aragão / SE;SP;09512-195;Jaqueta;;;Entregar urgente
Amanda Gomes;2024-09-08;0800 808 0574;nostrum@neque;9047,89;Inativo;Roupas;UG37-66cU;Viaduto Pires, 44, Candelaria, 83856-584 da Mota dos Dourados / TO;AM;35111-558;Calça;2;;Atraso na entrega
Dr. Sr. Felipe da Cruz;09/08/2023;+55 (011) 7719 7201;animi@aperiam;3542.81;Em análise;Móveis;lr28-08iv;Morro da Cunha, 77, Minas Caixa, 46571-860 Cavalcanti de Minas / PB;MG;69576421;Armário;;;
Dr. Sr. Matheus Rodrigues;24/05/2024;5551919458344;mcardoso@uol.com.br;1963,38;Ativo;Eletrônicos;cc80-02ae;Vila das Neves, 336, Alípio De Melo, 46038-633 Alves dos Dourados / AC;RJ;91049-;Tablet;;;
Dr. Bruno da Mata;2023-06-02;51 5936 4914;teixeirakamilly@gmail.com;3069.27;Ativo;Móveis;GG70-05bu;Viaduto Sales, 37, Grotinha, 10014-761 Novaes / PR;XX;67201-852;Armário;;;
marina pires;2023-07-02;71 3022 4817;alice71@barbosa.com;7442,39;Em análise;Móveis;jW57-74gt;Lagoa Barros, 492, João Pinheiro, 13094-224 Lopes da Praia / DF;SP;14296-493;Armário;1;dinheiro;Entregar urgente
joão vitor vieira;20/09/2024;(041) 9907 6019;maria-juliasouza@silva.net;9437,22;Ativo;Roupas;yx61-78ti;Moreira;AM;32386-;Jaqueta;2;Boleto;Entregar urgente
Sr. Pietra Gonçalves;2023-08-14;5521989422941;almeidamarina@hotmail.com;5088.52;ativo;Móveis;Cw46-62KY;Recanto Natália Campos, 9, Primeiro De Maio, 09011164 Martins / RR;RJ;47493-835;Cadeira;;;
larissa barros;03/10/2023;(021) 3968-4150;kmoreira@gmail.com;2643,97;Em análise;Móveis;kp01-99RE;Vila Marina Vieira, 80, Antonio Ribeiro De Abreu 1ª Seção, 07244-948 da Luz / PE;RS;59157-066;Mesa;3;Cartão;Cliente VIP
Erick Farias;2025-02-07;5561974408753;lais36@ig.com.br;3283.19;INATIVO;Alimentos;mP66-80nr;Feira Natália Novaes, 84, Vila Cemig, 32709-637 Correia / AM;RJ;70812-342;Chocolate;5;PIX;Cliente VIP
Sra. João Felipe Gonçalves;21/11/2024;5551998249925;pereiradavi-lucca@ferreira.com;4416,63;;Móveis;Ib22-14jm;Pinto do Oeste;MG;06195-801;Mesa;;Dinheiro;Atraso na entrega
srta. maria da luz;04/01/2024;(061) 9146-8785;theo06@uol.com.br;7307.12;ativo;Alimentos;oW85-00Zq;Moura;RJ;23308-534;Café;;;Atraso na entrega
Lorenzo da Costa;06/02/2024;5571905098322;eduardaduarte@melo.com;9208.03;INATIVO;Eletrônicos;ee71-92sT;Vila Martins, 177, Vila Paquetá, 14150-377 da Rosa do Amparo / MT;MG;92817-692;Tablet;;Cartão;Atraso na entrega
Dr. Matheus Carvalho;2023-11-14;51 4488 7099;benjamin02@hotmail.com;2337.26;Em análise;Eletrônicos;yI34-27pK;Setor Pinto, 97, Vila Paris, 98934860 da Rosa / MT;RJ;43428-016;Fone de Ouvido;5;Boleto;Entregar urgente
Maitê Silveira;2024-01-31;+55 61 0246 3781;mda-mota@santos.com;7222,11;Ativo;Eletrônicos;Gw84-25nR;Loteamento Melo, 40, Novo Glória, 18186-669 Nunes de Nunes / SC;RJ;86906096;Fone de Ouvido;;;Entregar urgente
Dr. Kevin Farias;04/04/2025;+55 41 2122 3268;dolore@eligendi;8259,1;Em análise;Alimentos;Fl63-69Sc;Favela Pires, 71, Boa União 2ª Seção, 70117857 Vieira / SC;MG;297750;Chocolate;;;Entregar urgente
Sra. Francisco Souza;21/05/2023;+55 81 8724 0992;ana-sophiada-rocha@bol.com.br;9509.86;Em análise;Alimentos;CN80-20aF;Trevo de da Mota, 54, Vila Suzana Segunda Seção, 67721768 Novaes / RR;SP;63304975;Refrigerante;2;;Atraso na entrega
nicole farias;12/05/2024;84 0451-3071;voluptates@consequatur;7153.17;;Roupas;Cy16-43Hc;Morro de Souza, Piratininga, 68681749 Duarte / RS;MG;67774629;Camisa;;Dinheiro;Cliente VIP
Danilo Pires;2023-10-31;(081) 0760 4311;arthurmoreira@yahoo.com.br;8962.23;Ativo;Eletrônicos;rI80-43OD;Ladeira Fogaça, 12, Anchieta, 00764-951 Alves / PB;XX;70917555;Notebook;5;Cartão;
Sra. Enrico da Conceição;12/11/2024;11 1222-3467;raul33@hotmail.com;3980,61;Em análise;Eletrônicos;vL48-86mL;Conjunto Camila Santos, 21, Flamengo, 10155-987 Costa / TO;RS;03176856;Notebook;5;Cartão;
Beatriz Costa;2025-04-17;41 7449-9652;vitor79@bol.com.br;2462,61;Inativo;Roupas;hk97-77BT;Rua de da Cruz, 80, Luxemburgo, 77870263 Duarte / SP;SP;94411562;Camisa;4;PIX;
Sra. Raul Martins;2024-09-13;+55 (084) 5441-2370;dmoraes@da.com;4257.13;Inativo;Alimentos;vX89-18in;Gomes Alegre;XX;96131-413;Café;;Dinheiro;Cliente VIP
alana pinto;09/10/2024;5561947086371;numquam@ea;2215.17;Ativo;Móveis;BY39-44FD;Via João Miguel da Cruz, 6, Bernadete, 16812-855 Monteiro de Nogueira / MA;RJ;28875-017;Armário;1;Dinheiro;Entregar urgente
marcela costela;2024-04-15;(051) 3335 7202;dmonteiro@hotmail.com;8210,54;;Alimentos;aF90-11VX;Trevo de Nogueira, 35, Comiteco, 10406896 Teixeira / SE;RJ;99611-;Bolacha;3;Dinheiro;
stella rocha;11/09/2023;0500 253 9736;joao-lucas78@ig.com.br;9305,63;Em análise;Alimentos;aN18-99zk;Favela da Cunha, 24, Capitão Eduardo, 14510916 Azevedo / SE;RJ;17687048;Bolacha;;Dinheiro;Atraso na entrega
Sr. Esther Oliveira;2024-07-16;+55 (061) 3235-3993;talmeida@ig.com.br;4822.27;Ativo;Eletrônicos;EO75-84Dt;Jesus;XX;89153-995;Smartphone;;;Entregar urgente
Dra. Ana Carolina da Paz;2025-03-10;+55 81 2215 0161;enascimento@ribeiro.br;5033.32;Ativo;Alimentos;ps31-76oi;Viela Leonardo Ferreira, 7, Solar Do Barreiro, 50643586 da Rosa / PI;SP;14807936;Refrigerante;3;Dinheiro;Atraso na entrega
Ana Lívia Correia;02/04/2024;+55 41 2236-1435;isaac30@caldeira.net;5329,61;Ativo;Eletrônicos;Nl29-63Ys;Travessa de Souza, 453, Jardim Felicidade, 81628006 Nunes do Amparo / AC;SP;65224411;Smartphone;;;Entregar urgente
Sra. Maria Cecília Moreira;25/02/2024;+55 (021) 3892 6916;brenofogaca@uol.com.br;841,08;Ativo;Alimentos;hp18-91cM;Praia de Moura, 52, Vila São Paulo, 59231165 da Mota / PI;SP;66019-;Café;4;;Entregar urgente
maria vitória da mota;2024-02-01;(051) 0673 6013;limapedro-lucas@rodrigues.com;3550,2;Ativo;Móveis;Vr60-27xp;Mendes;SP;13380367;Sofá;;Boleto;Atraso na entrega
Sr. Dr. João Felipe Pereira;2024-01-06;(031) 5722-4512;da-conceicaoluiz-otavio@gmail.com;601,61;INATIVO;Eletrônicos;pT00-16Yj;Loteamento Gomes, 97, Horto, 43603359 Pires do Oeste / PB;SP;52630671;Tablet;1;;
caroline da rocha;2023-10-22;5561902092415;fernandarocha@rodrigues.net;3509.58;;Alimentos;LX23-11uG;Via Carvalho, Vila Aeroporto, 05516779 da Rosa / MS;MG;10988384;Café;;;Atraso na entrega
ryan lopes;05/07/2023;5561983325231;fernandesbreno@da.br;9653.93;;Alimentos;GI19-27hp;Estrada Noah Moreira, 3, Aeroporto, 58747442 da Mata Grande / MT;SP;48241239;Café;;PIX;Atraso na entrega
fernando peixoto;2024-06-09;5584945955268;araujodaniel@fogaca.com;1355.72;INATIVO;Roupas;UF51-41ay;Parque de Novaes, 82, Santa Lúcia, 12172-523 Campos de Goiás / AM;MG;71298-080;Calça;3;Dinheiro;
Gabriela Gonçalves;2025-01-17;+55 (021) 4414 5506;jesusian@hotmail.com;1746.14;INATIVO;Eletrônicos;HI13-93YI;Lagoa Carolina Araújo, 15, Itatiaia, 53939364 Porto / BA;RS;66554291;Notebook;;dinheiro;
Sra. Alice Barbosa;08/09/2024;5511907244902;hfreitas@costa.com;5386.21;Em análise;Alimentos;Wp78-70KT;Fogaça de da Conceição;XX;24561561;Chocolate;4;;Cliente VIP
stephany rezende;08/09/2024;5531972982209;pmendes@bol.com.br;1577.52;INATIVO;Eletrônicos;am56-37Ug;Costela;RS;04909-786;Notebook;1;PIX;Entregar urgente
joana da costa;2023-12-07;+55 41 6993 5833;rda-rosa@yahoo.com.br;3893,29;ativo;Móveis;rS31-76la;Fazenda Araújo, 146, Santa Branca, 08478394 Carvalho da Serra / MS;AM;08099172;Cadeira;;dinheiro;Entregar urgente
Arthur Ramos;2023-08-24;+55 (081) 6650-3271;tcarvalho@hotmail.com;2609,34;ativo;Alimentos;xP23-40hb;Alameda Monteiro, 54, Bernadete, 62704929 Teixeira / TO;MG;64115261;Refrigerante;1;;Atraso na entrega
srta. evelyn cunha;20/06/2024;+55 (011) 4651 4101;gabriela77@novaes.net;4626.61;ativo;Móveis;RG61-88re;Lagoa Alexandre Lopes, 888, Vila Nova Paraíso, 13946-512 Martins / BA;XX;65118748;Sofá;;Dinheiro;
antônio pereira;2023-09-24;(061) 1485-6133;da-luzsofia@uol.com.br;4248,59;Em análise;Móveis;Tf02-57Hk;Aeroporto Cardoso, 30, Carlos Prates, 98516712 Oliveira / RO;RJ;55682-338;Cadeira;5;Cartão;Atraso na entrega
Sra. Dr. Noah Castro;22/03/2024;(051) 8248 6735;pireseloah@pires.net;6828,3;Em análise;Alimentos;BF04-67na;Castro;XX;36618-044;Refrigerante;;;Cliente VIP
Murilo Cavalcanti;25/01/2025;0500 860 1206;isadoraribeiro@barbosa.net;2509,09;ativo;Roupas;GN14-27qX;Trevo Ana Julia Lopes, 62, Carlos Prates, 40318-563 Araújo de Teixeira / SE;XX;03830-776;Calça;4;dinheiro;Atraso na entrega
eduardo gomes;23/07/2024;+55 (071) 7506-3705;raquel28@uol.com.br;3180,25;Ativo;Móveis;Nd17-09HG;Campo de Novaes, 69, Vila Petropolis, 52018-647 Barros / PB;XX;35122011;Mesa;;Dinheiro;Cliente VIP
Sr. Rafaela Azevedo;2024-02-10;+55 81 6899-1729;kda-costa@rocha.org;9305.31;ativo;Roupas;Yn63-96Zw;Feira Moreira, 6, Planalto, 80131-479 da Luz / MG;AM;38256491;Camisa;4;;Entregar urgente
Sra. Pedro Lucas Viana;2025-02-15;0500-179-6245;ccostela@fernandes.net;8160.34;ativo;Móveis;fD58-42PT;Vale Peixoto, 86, Lorena, 28349-731 Barbosa de Pereira / AL;MG;91463747;Armário;5;;Atraso na entrega
henrique rocha;2023-05-03;+55 71 1914-5341;larasilva@yahoo.com.br;5307.86;Em análise;Roupas;kB25-64rM;Vereda Araújo, 72, Camponesa 1ª Seção, 31157-215 Moraes de Novaes / RJ;SP;62389909;Jaqueta;;;Cliente VIP
Eduardo Viana;2023-07-09;(021) 9244-8939;fogacalucca@ig.com.br;3347.01;ativo;Roupas;zG86-75ua;Quadra Noah Jesus, 1, Vila Nossa Senhora Do Rosário, 62836-488 Rodrigues / RS;SP;05040-041;Jaqueta;5;;Cliente VIP
Sr. Marina Farias;2023-05-30;5521996452601;dolores@unde;1469.87;Inativo;Eletrônicos;Zw17-93aa;Esplanada de Carvalho, 38, Vitoria, 84205-496 Pinto / RJ;RS;40855373;Fone de Ouvido;2;Dinheiro;Entregar urgente
Alexia da Cunha;2023-07-11;+55 (021) 9112-1335;incidunt@praesentium;2769.05;Ativo;Móveis;ZG08-92jM;Ladeira Ana Luiza Nunes, 38, Leticia, 09208-284 Freitas de Aragão / GO;SP;78977-475;Mesa;;Cartão;
Dra. Carolina das Neves;23/07/2023;21 6164 6912;luiz-gustavopeixoto@hotmail.com;8997.82;ativo;Eletrônicos;na48-03Ji;Área de Mendes, 42, Novo Tupi, 65625-034 Rocha do Oeste / PB;SP;05330-347;Smartphone;4;Cartão;Atraso na entrega
ana vitória cardoso;2023-10-30;71 0205-5143;erick10@gmail.com;8424,46;Inativo;Roupas;QZ53-86IE;Condomínio Fernandes, 88, Mirtes, 79498187 Barros / PA;MG;39853-865;Calça;4;PIX;Atraso na entrega
Noah Cavalcanti;2023-09-19;+55 (031) 9798-0382;maria-vitoriaribeiro@hotmail.com;5237.87;;Eletrônicos;Rj83-94Fy;Estrada Porto, Biquinhas, 65341-382 Santos Alegre / TO;SP;92150-751;Tablet;1;Dinheiro;
Joaquim Dias;11/03/2024;5581974353409;ferreiraluiz-felipe@melo.br;7189.54;ativo;Alimentos;dn47-11ev;Campo Clarice Martins, 6, Vila Nova Gameleira 2ª Seção, 69921-402 da Mata / GO;SP;69486-938;Chocolate;;dinheiro;
Dra. Sr. Yago Jesus;2025-04-27;+55 41 9724-8323;ana-clara62@melo.br;928.02;Em análise;Roupas;Oj13-14Ru;da Cunha dos Dourados;RS;51288903;Vestido;;;Atraso na entrega
Sr. Antônio Caldeira;2024-07-02;5531937475612;leandro11@bol.com.br;627,76;ativo;Roupas;Ji45-56xf;Parque de Peixoto, 64, Miramar, 06466519 Rezende Paulista / BA;SP;46784-774;Camisa;;dinheiro;
joão felipe rezende;2025-03-05;61 3186 4406;caiorodrigues@correia.br;8241.59;INATIVO;Alimentos;pM31-72dd;Rua de Moraes, 481, Europa, 87927517 Dias / PR;RS;16805696;Refrigerante;;dinheiro;Atraso na entrega
Dr. Yago da Paz;24/07/2024;(084) 4569 4855;dpeixoto@pereira.br;244.69;ativo;Alimentos;eA53-44GQ;Praça de Barbosa, 650, Vila São Gabriel, 59169667 Correia / BA;MG;259152;Chocolate;;PIX;Cliente VIP
stephany caldeira;28/07/2024;0800-234-0111;davi-lucas02@bol.com.br;1782,19;Ativo;Alimentos;El63-43dr;Fogaça de Goiás;SP;13200-;Café;2;;Atraso na entrega
dr. pedro mendes;2024-04-23;5584943568061;rezendeluiz-miguel@araujo.br;9182,36;;Móveis;FF78-09FC;Trecho Bruna Moura, 64, Madri, 92193-253 Freitas / ES;SP;86176048;Mesa;1;PIX;Entregar urgente
vitor gabriel da conceição;2024-03-26;5561980332593;xda-conceicao@ig.com.br;3863,29;Em análise;Alimentos;kN90-34QJ;Estação de Sales, Vila Piratininga, 49468-808 Lopes do Norte / AC;RS;669977;Refrigerante;3;;Atraso na entrega
laís rezende;2024-09-01;+55 84 9092-0457;alexia72@bol.com.br;5950.1;ativo;Alimentos;Yd66-99TT;Distrito de Mendes, 3, Santa Cecilia, 65095-359 Mendes / RR;MG;24809834;Café;;Cartão;Cliente VIP
Sra. Sr. Carlos Eduardo Pires;27/01/2024;5561931405434;carlos-eduardo97@ig.com.br;235,16;INATIVO;Eletrônicos;iI00-84RP;Farias Verde;RS;81408762;Fone de Ouvido;3;;
Sra. Pedro Lucas da Paz;2024-02-28;84 5161 0722;nathanfarias@ribeiro.org;2703.7;;Eletrônicos;mS02-42Sk;Quadra Mendes, 27, Vila São Francisco, 36664-212 Pereira de Correia / AM;RJ;39112093;Tablet;2;;
fernanda da conceição;2025-02-17;+55 71 9880 1612;incidunt@numquam;9187,82;Inativo;Móveis;mg78-86no;da Cruz do Sul;MG;93452-040;Mesa;;Cartão;Atraso na entrega
joão miguel da paz;14/02/2025;21 4768 7838;cfogaca@castro.br;2872.57;;Roupas;gH75-12aK;Largo Barbosa, 391, Esperança, 82110-011 Monteiro da Praia / PR;SP;28596-369;Jaqueta;4;;
melissa rodrigues;2023-06-11;(031) 2984-9905;caldeiradavi-luiz@cardoso.br;6851,93;Em análise;Alimentos;JP70-45ky;Passarela de Correia, 54, Goiania, 18054-266 Aragão / RO;SP;21206182;Café;;;Atraso na entrega
caroline rocha;2025-04-16;5584991017373;mmartins@ramos.com;5788.46;Ativo;Alimentos;yU03-64nK;Chácara de Ramos, 91, Mala E Cuia, 27465191 Vieira do Norte / PA;SP;83553-022;Café;5;;
Sra. Noah da Paz;21/12/2023;5584914586199;samuel28@dias.org;5080.82;Ativo;Móveis;cl31-75UP;Morro de Barros, 4, Jardim Vitoria, 27219-408 Moraes do Galho / ES;MG;31005-060;Mesa;;dinheiro;
Sra. Sr. Benjamin Correia;2023-10-19;5511994895290;maria-vitoriarezende@oliveira.net;460.72;Em análise;Móveis;qk26-64Lp;Lago de Duarte, 81, Vila Atila De Paiva, 81966-460 Ramos / RO;AM;95893035;Cadeira;4;Boleto;Cliente VIP
Lorena Freitas;2024-12-23;5581989018470;msilva@yahoo.com.br;6374,51;ativo;Roupas;SR54-58TQ;Ladeira Augusto Teixeira, Brasil Industrial, 18323-387 Nunes / BA;MG;23030-514;Vestido;5;;
Dr. Juan Cardoso;09/02/2025;11 7803-4926;lais90@peixoto.br;8269.31;ativo;Roupas;va92-53Sj;Quadra da Cruz, 4, São Salvador, 30965-290 Teixeira / MT;SP;00438297;Calça;5;;
joão felipe pereira;2024-06-15;+55 (061) 6527 8198;placeat@adipisci;7558,43;Em análise;Móveis;ic06-27mL;Avenida de Pires, Horto Florestal, 39024160 Lopes da Mata / PI;SP;75362-329;Cadeira;;Cartão;Cliente VIP
Dr. Sr. Guilherme Cavalcanti;2025-01-16;+55 41 8129-1904;miguel07@lopes.org;7697.73;Em análise;Eletrônicos;rd17-37WP;Lopes de Gomes;MG;13061-774;Tablet;2;Dinheiro;
Alana Souza;2023-10-13;21 4228-7537;pietramartins@hotmail.com;4612.71;INATIVO;Eletrônicos;SY69-18fe;Via Moreira, 69, Cidade Jardim Taquaril, 78845-291 da Cunha / PB;AM;00973-625;Smartphone;;Cartão;Cliente VIP
Sra. Dr. Cauã Barros;22/11/2024;84 7225-4734;vdas-neves@teixeira.com;6856.6;INATIVO;Alimentos;PI72-66dA;Trecho de Peixoto, 43, Glória, 88343-920 Cunha / SC;AM;05245543;Chocolate;;Dinheiro;Entregar urgente
Isaac Moreira;2025-04-24;+55 (031) 2900-5624;mouracamila@hotmail.com;3916.5;ativo;Alimentos;YV03-30uE;Pátio Marcela Pires, 6, Conjunto Capitão Eduardo, 45398-708 Campos / PA;SP;13342-555;Refrigerante;;dinheiro;Cliente VIP
Sr. Pedro Aragão;2024-01-23;+55 (051) 1743 5230;ana-julia10@hotmail.com;6006.86;;Roupas;pR93-41AN;Parque Bianca Azevedo, 4, Santa Lúcia, 78267-035 Mendes do Campo / RO;XX;25208433;Calça;;;Atraso na entrega
Juan Nunes;2023-08-15;5511932882424;luiz-felipe38@gmail.com;9500.24;;Eletrônicos;Tq70-78oP;Costela de Mendes;XX;85583-707;Tablet;;;
henrique da costa;09/06/2023;+55 (021) 8081-0595;da-costaigor@hotmail.com;2306,65;Ativo;Móveis;cb13-15wD;Pátio Nogueira, 99, Vila Antena Montanhês, 65878-816 da Mata / AL;AM;22026640;Sofá;;PIX;Atraso na entrega
Dra. Ana Beatriz Araújo;2023-11-29;(084) 8951 4390;wda-mata@moraes.net;496.52;Inativo;Eletrônicos;Qn09-49Rf;Condomínio Costela, 93, Betânia, 46577562 Pires / AC;RJ;30617521;Smartphone;;;
bruno da rocha;28/11/2024;5551979718967;bryanfernandes@rodrigues.net;7211.69;;Alimentos;TK90-45Xf;Largo Rodrigues, Cardoso, 48863-345 da Rosa de Moura / RJ;SP;31555-102;Chocolate;2;Dinheiro;
Dr. Ryan Alves;07/05/2024;(021) 4909-5268;caldeiraenrico@bol.com.br;2177,07;Ativo;Eletrônicos;Vt88-18HZ;Favela Azevedo, 6, Jardim Atlântico, 07083-881 Cardoso / BA;RS;17247-267;Tablet;;Boleto;Atraso na entrega
arthur cunha;2024-02-02;0900 878 1214;joao-pedro36@cavalcanti.org;6102.71;ativo;Alimentos;lk49-48Lv;Duarte de Castro;AM;19105-224;Bolacha;;Cartão;Atraso na entrega
Sr. Sr. Luiz Gustavo Aragão;2024-07-14;+55 (041) 4336-8234;levi37@caldeira.org;6759.56;INATIVO;Móveis;DR16-33Yo;Área Costela, São Salvador, 06984-815 Castro de Ramos / RO;SP;76166-473;Sofá;;;Cliente VIP
Sarah Vieira;23/02/2024;(051) 5621-5490;freitaslorenzo@pinto.net;1237,64;Em análise;Móveis;Ir96-47Ub;Feira de Viana, 1, Zilah Sposito, 53663-804 da Rosa / RO;MG;37718345;Sofá;4;dinheiro;
srta. isadora viana;2024-06-09;+55 71 0713-7182;fariaspedro-lucas@gmail.com;7931,23;ativo;Eletrônicos;HD72-30GL;Sítio Pietra Carvalho, 33, Vila Das Oliveiras, 38697-844 Pires / MS;MG;54320491;Notebook;1;Cartão;Atraso na entrega
Dra. Sophia Cardoso;2023-07-10;+55 31 5308 3895;assumenda@nam;5140.08;;Alimentos;hh08-01UU;Barbosa de Goiás;AM;53336728;Café;;Dinheiro;Atraso na entrega
Sr. Kevin Vieira;01/11/2023;(061) 3372 9625;amanda52@yahoo.com.br;2581,21;Ativo;Roupas;kg38-70Kd;Jesus;SP;71672-389;Jaqueta;;Dinheiro;Atraso na entrega
Lavínia Fernandes;2024-01-24;(011) 8180-8914;natalia50@da.net;3232.62;Inativo;Móveis;is80-93Bu;Sales de Goiás;MG;58309672;Cadeira;4;Dinheiro;
luna cunha;2025-01-31;5531999278923;veniam@quasi;5486,37;Ativo;Roupas;qq23-16TS;Passarela Daniela Rodrigues, 60, Vila Ecológica, 26070-992 Porto das Flores / RO;SP;12910561;Vestido;3;;Atraso na entrega
Maysa Cardoso;2023-07-20;+55 (031) 3071-9537;lpires@silveira.br;604.05;Em análise;Eletrônicos;nm85-06kr;Rodrigues Grande;XX;15011356;Smartphone;;dinheiro;
Dr. Pedro Ramos;2025-02-06;5584961823159;ana-vitoriamendes@hotmail.com;6873,49;ativo;Eletrônicos;Kg10-78IC;Esplanada de Teixeira, 64, Conjunto Jatoba, 97636098 da Mata / TO;MG;50379984;Fone de Ouvido;3;dinheiro;Cliente VIP
Eduarda Rocha;11/01/2024;0900 735 0839;azevedotheo@carvalho.com;7929,6;Inativo;Eletrônicos;TY69-47ff;Almeida de Fogaça;SP;98207-702;Notebook;;Cartão;
erick campos;2023-07-25;5521904051318;carvalhobianca@da.com;1505.21;;Roupas;mD91-95AJ;Vila de Costa, Tres Marias, 31339-391 Ribeiro / PR;RS;94173-;Jaqueta;;dinheiro;Atraso na entrega
Vinicius da Cunha;23/11/2023;+55 81 9227 7388;emanuelda-cruz@hotmail.com;7620,37;ativo;Móveis;OM20-24Bx;Chácara Juliana Mendes, 7, São Jorge 1ª Seção, 25858075 Caldeira das Flores / PB;MG;71595-074;Mesa;;PIX;
Dra. Benjamin da Rocha;2023-07-17;(041) 9953 5130;lorenzo30@gmail.com;1782.11;Inativo;Móveis;rM93-47Is;Nascimento de Pinto;MG;32511-459;Mesa;4;dinheiro;
Alícia Duarte;02/08/2023;+55 (061) 4367 0838;olima@lopes.br;5784,39;Inativo;Alimentos;Iu69-82kc;Vale Guilherme Oliveira, Boa Vista, 90608675 Martins do Amparo / SP;MG;69218647;Chocolate;;;Entregar urgente
